Room,6,7,8,9,10,11
November 1st,77,50,26,74,22,6
,87,93,52,83,43,144
,122,97,126,219,65,228
,160,101,152,265,119,240
,191,181,178,295,138,253
November 2nd,224,244,211,326,175,461
,337,321,348,422,198,8
,345,355,361,432,397,141
,419,373,378,450,453,226
,458,392,426,472,469,237
