pignum,sample_ID,Gender,weight_9_12,weight_10_9,weight,AULC,experiment,day,tissue,num_seqs,treatment,set,log_sal,nurse_gain,pen,pig_day_tissue,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,lactate
126,X12bP126D14F,NA,5.25,12.05,NA,48.356596169294846,X12b,D14,F,20229,Acid,X12b_D14_F_Acid,1.69897000433602,6.800000000000001,26,126_D14_F,90.11211000000002,46.08264,4.4778,32.166869999999996,6.1477200000000005,7.7322,2.77393,0,1.58541,1.21311,0
126,X12bP126D21C,NA,5.25,12.05,NA,48.356596169294846,X12b,D21,C,32143,Acid,X12b_D21_C_Acid,0,6.800000000000001,26,126_D21_C,74.09421,47.69337,0.37248000000000003,16.17996,0.48785999999999996,3.3088500000000005,0.45942,0.63531,0.15239999999999998,0.65052,1.5440999999999998
126,X12bP126D21F,NA,5.25,12.05,NA,48.356596169294846,X12b,D21,F,17642,Acid,X12b_D21_F_Acid,1.69897000433602,6.800000000000001,26,126_D21_F,87.58209000000001,22.09008,3.8931000000000004,16.29576,5.501580000000001,3.8361,1.40638,0,1.5261900000000002,0.59895,4.9626600000000005
126,X12bP126D7F,NA,5.25,12.05,NA,48.356596169294846,X12b,D7,F,36162,Acid,X12b_D7_F_Acid,4.09516935143176,6.800000000000001,26,126_D7_F,76.37223,36.278639999999996,4.6692599999999995,17.41791,6.92574,7.81386,2.9129500000000004,0,1.7085299999999999,0.62229,0.81375
138,X12bP138D0F,M,6.75,12.2,NA,33.9794000867204,X12b,D0,F,22074,RCS,X12b_D0_F_RCS,0,5.449999999999999,28,138_D0_F,74.37918,30.10884,3.76335,17.24904,4.0331399999999995,5.202450000000001,0.8766699999999998,0,1.14486,0.7051799999999999,0.6488700000000001
138,X12bP138D0Q,M,6.75,12.2,NA,33.9794000867204,X12b,D0,Q,25962,RCS,X12b_D0_Q_RCS,0,5.449999999999999,28,138_D0_Q,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,X12bP138D14F,M,6.75,12.2,NA,33.9794000867204,X12b,D14,F,24810,RCS,X12b_D14_F_RCS,1.69897000433602,5.449999999999999,28,138_D14_F,90.49332000000001,38.437470000000005,3.9703800000000005,21.56079,5.59884,7.35282,2.33827,0,1.5001200000000001,1.38084,1.68108
138,X12bP138D21C,M,6.75,12.2,NA,33.9794000867204,X12b,D21,C,24096,RCS,X12b_D21_C_RCS,2.79239168949825,5.449999999999999,28,138_D21_C,102.29226,50.92503000000001,0.44516999999999995,21.008850000000002,0.39885000000000004,3.48627,0.49614,0.33564,0,0.60999,1.05516
138,X12bP138D21F,M,6.75,12.2,NA,33.9794000867204,X12b,D21,F,24966,RCS,X12b_D21_F_RCS,1.69897000433602,5.449999999999999,28,138_D21_F,63.86603999999999,23.11296,2.89767,11.109960000000001,3.65412,3.37275,0.5522499999999999,0,1.1232,0.69573,6.56481
138,X12bP138D2F,M,6.75,12.2,NA,33.9794000867204,X12b,D2,F,24258,RCS,X12b_D2_F_RCS,1.69897000433602,5.449999999999999,28,138_D2_F,87.20004000000002,38.73399,4.94568,28.215719999999997,6.25953,7.95528,2.40823,0,1.65999,1.2928199999999999,2.2146
