pen,timepoint,treatment,group,acetate,propionate,isobutyrate,butyrate,isovalerate,valerate,caproate,oxalate,phenylacetate,succinate,total,lactate
23,0,2,23_0,69.41423999999999,42.29784,0.20238,16.51317,0.21072,4.64484,0.53808,0.18999,0.14043,0.33717,254.48886,0
24,0,9,24_0,68.68871999999999,38.26137,0.26559,21.14886,0.32742,3.38448,0.46143,0.23358,0.19638,0.53829,253.50611999999998,0
25,0,1,25_0,80.65095,38.75904,0.27632999999999996,17.16786,0.24675000000000002,3.6058500000000002,0.38916,0.18861,0.15708,0.43635,263.66877,0
26,0,6,26_0,79.06166999999999,32.59773,0,27.10785,0,5.33208,0.53166,0.36107999999999996,0.19533,0.9234899999999999,281.31378,13.553429999999999
28,0,9,28_0,58.041779999999996,36.62523,0.44652000000000003,17.05728,0.50049,7.20009,0.92523,0.37497,0,0.42705000000000004,244.47777,1.09599
29,0,10,29_0,92.38176,44.9217,0.32931,29.8857,0.31161,5.953379999999999,0.6767700000000001,0.26037,0.12075,0.27297,297.05562,0.5602199999999999
31,0,6,31_0,82.74108,47.43231,0,22.30569,0,4.25793,0.4962,0.38016,0.15675,0.41933999999999994,280.572,0.68847
32,0,1,32_0,89.37138,36.3147,0.2367,17.115029999999997,0.20583,2.03454,0.42189,0.33462000000000003,0,0.44001,268.7925,0.8179799999999999
35,0,9,35_0,82.89393,41.174549999999996,0,15.74001,0,2.56338,0.41118,0.45948,0,0.51096,268.46985,1.51299
36,0,6,36_0,83.24775,28.189799999999998,0,17.574569999999998,0,1.41984,0.36941999999999997,0.39327,0.11139000000000002,0.36890999999999996,255.25941,1.5673499999999998
37,0,3,37_0,87.021960000000007,34.6143,0.31395,28.316879999999998,0.26091000000000003,6.253349999999999,0.56469,0.25977,0.23664000000000002,0.93948,286.4661,5.690340000000001
39,0,1,39_0,86.79879,38.50887,0.25512,16.413449999999997,0.23487,2.14626,0.46641,0.38151,0.16614,0.43626,268.65234,0.81867
40,0,9,40_0,74.73152999999999,25.48113,0.24573,15.971789999999999,0.21387,3.1109400000000003,0.62337,0.30186,0.18447000000000002,1.4565,255.23201999999998,10.807649999999999
43,0,6,43_0,101.94333,56.22444,0.35712,32.54514,0.32553,7.587870000000001,0.8208899999999999,0.3912,0.21576,0.9639,324.43044000000003,1.18383
44,0,8,44_0,74.01669,42.84843,0.46355999999999997,25.462380000000003,0.46944,5.48631,1.01877,0.34167000000000003,0.24504,0.29811,273.12846,0.56202
45,0,1,45_0,78.7452,38.92206,0.21645000000000003,23.23251,0.22260000000000002,3.6375900000000003,0.4878,0.23541,0.20879999999999999,0.47643,268.13535,0.66888
46,0,10,46_0,70.60254,33.42891,0.43413,30.315779999999997,0.51681,8.60058,0.9900899999999999,0.36519,0.11019,0.7023900000000001,269.55261,1.21764
47,0,2,47_0,86.14202999999999,43.79004,0.5369700000000001,14.5593,0.40593,3.3185100000000003,0.48129,0.32960999999999996,0.16061999999999999,0.44655,272.51553,0.61887
48,0,10,48_0,63.377069999999996,45.876599999999996,0.28617000000000004,28.573079999999997,0.36393,17.06178,1.0611300000000001,0.30962999999999996,0.16881000000000002,0.78162,282.59598,1.9101599999999999
49,0,3,49_0,80.27358000000001,50.745180000000005,0.61518,27.734340000000003,0.6273299999999999,12.51744,1.00374,0.31335,0.31506,0.87819,297.22902,0.46143
51,0,10,51_0,78.24507,33.557339999999996,0.41567999999999994,16.46949,0.36405,3.67821,0.35871,0,0,0.31869000000000003,253.40724,0
